Issue,Severity,Areas,Filename,Assembly,Descriptor,Ignored
"Conversion from value type 'Int32' to ref type","Major","Memory","UIManager.cs:97","Assembly-CSharp","Boxing Allocation","False"
"Closure allocation in 'UIManager.ShowBuildButtons'","Moderate","Memory","UIManager.cs:0","Assembly-CSharp","Closure Allocation","False"
"Closure allocation in 'UIManager.ShowBuildButtons'","Moderate","Memory","UIManager.cs:0","Assembly-CSharp","Closure Allocation","False"
"'UnityEngine.Object.Instantiate<UnityEngine.GameObject>' usage","Major","CPU, Memory","UIManager.cs:109","Assembly-CSharp","UnityEngine.Object.Instantiate","False"
"'UnityEngine.Object.name' usage","Major","Memory","UIManager.cs:112","Assembly-CSharp","UnityEngine.Object.name","False"
"'System.String.Concat' usage","Moderate","Memory","UIManager.cs:112","Assembly-CSharp","System.String.Concat","False"
"'UnityEngine.Events.UnityAction' allocation","Moderate","Memory","UIManager.cs:114","Assembly-CSharp","Object Allocation","False"
"Closure allocation in 'UIManager.ShowTechButtons'","Info","Memory","UIManager.cs:0","Assembly-CSharp","Closure Allocation","False"
"Closure allocation in 'UIManager.ShowTechButtons'","Info","Memory","UIManager.cs:0","Assembly-CSharp","Closure Allocation","False"
"'UnityEngine.Object.Instantiate<UnityEngine.GameObject>' usage","Moderate","CPU, Memory","UIManager.cs:136","Assembly-CSharp","UnityEngine.Object.Instantiate","False"
"'UnityEngine.Events.UnityAction' allocation","Info","Memory","UIManager.cs:142","Assembly-CSharp","Object Allocation","False"
"Closure allocation in 'UIManager.ShowTechPurchasePanel'","Info","Memory","UIManager.cs:0","Assembly-CSharp","Closure Allocation","False"
"Closure allocation in 'UIManager.ShowTechPurchasePanel'","Info","Memory","UIManager.cs:0","Assembly-CSharp","Closure Allocation","False"
"'UnityEngine.Events.UnityAction' allocation","Info","Memory","UIManager.cs:155","Assembly-CSharp","Object Allocation","False"
"Closure allocation in 'UIManager.ShowTechPurchasePanel'","Info","Memory","UIManager.cs:0","Assembly-CSharp","Closure Allocation","False"
"'UnityEngine.Object.name' usage","Moderate","Memory","UIManager.cs:162","Assembly-CSharp","UnityEngine.Object.name","False"
"'UnityEngine.Events.UnityAction' allocation","Info","Memory","UIManager.cs:162","Assembly-CSharp","Object Allocation","False"
"'UnityEngine.Events.UnityAction' allocation","Info","Memory","UIManager.cs:166","Assembly-CSharp","Object Allocation","False"
"'UnityEngine.Object.Instantiate<UnityEngine.GameObject>' usage","Moderate","CPU, Memory","UIManager.cs:178","Assembly-CSharp","UnityEngine.Object.Instantiate","False"
"Closure allocation in 'UIManager.ShowCaptureButton'","Info","Memory","UIManager.cs:0","Assembly-CSharp","Closure Allocation","False"
"'UnityEngine.Object.Instantiate<UnityEngine.GameObject>' usage","Moderate","CPU, Memory","UIManager.cs:206","Assembly-CSharp","UnityEngine.Object.Instantiate","False"
"'UnityEngine.Events.UnityAction' allocation","Info","Memory","UIManager.cs:215","Assembly-CSharp","Object Allocation","False"
"'System.String.Concat' usage","Info","Memory","UIManager.cs:306","Assembly-CSharp","System.String.Concat","False"
"Conversion from value type 'Int32' to ref type","Moderate","Memory","UIManager.cs:311","Assembly-CSharp","Boxing Allocation","False"
"'System.Collections.Generic.Dictionary`2<City,UnityEngine.GameObject>' allocation","Info","Memory","UIManager.cs:39","Assembly-CSharp","Object Allocation","False"
"'UnityEngine.Object.name' usage","Moderate","Memory","UnitStatsPopup.cs:17","Assembly-CSharp","UnityEngine.Object.name","False"
"'System.String.Concat' usage","Info","Memory","UnitStatsPopup.cs:18","Assembly-CSharp","System.String.Concat","False"
"'System.String.Concat' usage","Info","Memory","UnitStatsPopup.cs:19","Assembly-CSharp","System.String.Concat","False"
"'System.String.Concat' usage","Info","Memory","UnitStatsPopup.cs:20","Assembly-CSharp","System.String.Concat","False"
